# source	target	keep_as_is	confidence	notes
AWS Account ID	AWSアカウントID	true	high	bold, ngram-3 | 1 section(s)
Common trust policy	共通信頼ポリシー	false	high	bold | 1 section(s)
IAM Role ARN	IAMロールARN	true	high	bold, ngram-3 | 1 section(s)
Specify permissions	権限の指定	false	high	bold | 1 section(s)
External ID	外部ID	false	high	bold | 1 section(s)
AWS account	AWSアカウント	false	high	bold | 1 section(s)
Another AWS account	別のAWSアカウント	false	high	bold | 1 section(s)
Require external ID	外部IDを必須にする	false	high	bold | 1 section(s)
EKS settings	EKS設定	false	high	bold | 1 section(s)
Attach policies	ポリシーのアタッチ	false	high	bold | 1 section(s)
Other permissions policies	その他の権限ポリシー	false	high	bold | 1 section(s)
Policy name	ポリシー名	false	high	bold | 1 section(s)
Policy details	ポリシーの詳細	false	high	bold | 1 section(s)
Quickstart	クイックスタート	false	high	bold | 1 section(s)
Manually	手動で	false	high	bold | 1 section(s)
EKS Settings	EKS設定	false	high	bold | 1 section(s)
Security Group ID	セキュリティグループID	false	high	bold | 1 section(s)
VPC endpoint ID	VPCエンドポイントID	false	high	bold | 1 section(s)
VPC Endpoint ID	VPCエンドポイントID	false	high	bold | 1 section(s)
VPC network	VPCネットワーク	false	high	bold | 1 section(s)
Regional Managed Proxy	Regional Managed Proxy	true	high	bold | 1 section(s)
Purpose	目的	false	high	bold | 1 section(s)
Network Connectivity	ネットワーク接続	false	high	bold | 1 section(s)
Cloud Router	Cloud Router	true	high	bold, ngram-2 | 1 section(s)
Routers	ルーター	false	high	bold | 1 section(s)
Cloud NAT IP address	Cloud NAT IPアドレス	false	high	bold | 1 section(s)
IP address 1	IPアドレス1	false	high	bold | 1 section(s)
Reserve	予約	false	high	bold | 1 section(s)
Firewalls	ファイアウォール	false	high	bold | 1 section(s)
Network Services	ネットワークサービス	false	high	bold | 1 section(s)
Target details	ターゲットの詳細	false	high	bold | 1 section(s)
Static IP address	静的IPアドレス	false	high	bold | 1 section(s)
Fine-grained	きめ細かい	false	high	bold | 1 section(s)
IAM & Admin	IAMと管理	false	high	bold | 1 section(s)
Service Accounts	サービスアカウント	false	high	bold | 1 section(s)
Storage Object Admin	Storage Object Admin	true	high	bold | 1 section(s)
Condition editor	条件エディタ	false	high	bold | 1 section(s)
Storage Bucket Viewer	Storage Bucket Viewer	true	high	bold | 1 section(s)
Role launch stage	ロールの起動段階	false	high	bold | 1 section(s)
Alpha	アルファ	false	high	bold | 1 section(s)
General Availability	一般提供	false	high	bold | 1 section(s)
IAM custom role	IAMカスタムロール	false	high	bold | 1 section(s)
Service Account	サービスアカウント	false	high	bold, ngram-2 | 1 section(s)
Principals with access	アクセス権を持つプリンシパル	false	high	bold | 1 section(s)
New principals	新しいプリンシパル	false	high	bold | 1 section(s)
Service Account User	サービスアカウントユーザー	false	high	bold | 1 section(s)
Role	ロール	false	high	bold | 1 section(s)
Service Account Token Creator	サービスアカウントトークン作成者	false	high	bold | 1 section(s)
Zilliz BYOC Project Name	Zilliz BYOC Project Name	true	high	bold | 1 section(s)
Cloud Region	クラウドリージョン	false	high	bold | 1 section(s)
GCP Private Service Connect	GCP Private Service Connect	true	high	bold | 1 section(s)
Service Account Email	サービスアカウントメール	false	high	bold | 1 section(s)
GKE Settings	GKE設定	false	high	bold | 1 section(s)
GKE Cluster Name	GKEクラスター名	false	high	bold | 1 section(s)
Subnet Names	サブネット名	false	high	bold | 1 section(s)
Private Service Connect Endpoint	Private Service Connect エンドポイント	false	high	bold | 1 section(s)
Undeploy	デプロイ解除	false	high	bold | 1 section(s)
Deploying	デプロイ中	false	high	bold | 1 section(s)
VPC Management	VPC管理	false	high	bold | 1 section(s)
Subnet Operations	サブネット操作	false	high	bold | 1 section(s)
Security Groups	セキュリティグループ	false	high	bold | 1 section(s)
Route Tables	ルートテーブル	false	high	bold | 1 section(s)
Internet Gateways	インターネットゲートウェイ	false	high	bold | 1 section(s)
NAT Gateways	NATゲートウェイ	false	high	bold | 1 section(s)
VPC Endpoints	VPCエンドポイント	false	high	bold | 1 section(s)
Launch Templates	起動テンプレート	false	high	bold | 1 section(s)
Route53	Route53	true	high	bold | 1 section(s)
Tagging	タグ付け	false	high	bold | 1 section(s)
Role Management	ロール管理	false	high	bold | 1 section(s)
Policy Management	ポリシー管理	false	high	bold | 1 section(s)
Identity Verification	ID検証	false	high	bold | 1 section(s)
Bucket Operations	バケット操作	false	high	bold | 1 section(s)
Bucket Configuration	バケット設定	false	high	bold | 1 section(s)
Object Tagging	オブジェクトタグ付け	false	high	bold | 1 section(s)
Bucket Listing	バケットリスト	false	high	bold | 1 section(s)
Service-Linked Roles	サービスにリンクされたロール	false	high	bold | 1 section(s)
OIDC Provider	OIDCプロバイダー	false	high	bold | 1 section(s)
IAM Role Management	IAMロール管理	false	high	bold | 1 section(s)
EC2 Resources	EC2リソース	false	high	bold | 1 section(s)
EKS Cluster Operations	EKSクラスター操作	false	high	bold | 1 section(s)
Node Group Operations	ノードグループ操作	false	high	bold | 1 section(s)
Addon Management	アドオン管理	false	high	bold | 1 section(s)
Pod Resources	Podリソース	false	high	bold | 1 section(s)
VARCHAR	VARCHAR	true	high	backtick | 13 section(s)
AUTOINDEX	AUTOINDEX	true	high	backtick | 8 section(s)
True	True	true	high	backtick | 4 section(s)
INT64	INT64	true	high	backtick | 4 section(s)
DOUBLE	DOUBLE	true	high	backtick | 4 section(s)
COSINE	COSINE	true	high	backtick | 3 section(s)
L2	L2	true	high	backtick | 3 section(s)
IP	IP	true	high	backtick | 3 section(s)
LIKE	LIKE	true	high	backtick | 3 section(s)
JSON	JSON	true	high	backtick | 3 section(s)
FLOAT	FLOAT	true	high	backtick | 3 section(s)
JACCARD	JACCARD	true	high	backtick | 2 section(s)
MHJACCARD	MHJACCARD	true	high	backtick | 2 section(s)
INT8	INT8	true	high	backtick | 2 section(s)
INT32	INT32	true	high	backtick | 2 section(s)
BOOL	BOOL	true	high	backtick | 2 section(s)
ARRAY	ARRAY	true	high	backtick | 2 section(s)
IS NULL	IS NULL	true	high	backtick, ngram-2 | 2 section(s)
IS NOT NULL	IS NOT NULL	true	high	backtick, ngram-3 | 2 section(s)
HAMMING	HAMMING	true	high	backtick | 2 section(s)
GEOMETRY	GEOMETRY	true	high	backtick | 2 section(s)
TIMESTAMPTZ	TIMESTAMPTZ	true	high	backtick | 2 section(s)
BM25	BM25	true	high	backtick | 2 section(s)
Managed volume			pending	bold | 3 section(s)
Choose Deployment Option			pending	bold | 2 section(s)
America/Chicago			pending	backtick, bold | 2 section(s)
External volume			pending	bold | 2 section(s)
Collection			pending	bold | 2 section(s)
Schema			pending	bold | 2 section(s)
Default Project			pending	bold, backtick | 2 section(s)
Cluster Access			pending	bold, ngram-2 | 2 section(s)
All Clusters			pending	bold | 2 section(s)
Include all future clusters			pending	bold | 2 section(s)
Volume Access			pending	bold | 2 section(s)
All Volumes			pending	bold | 2 section(s)
Include all future volumes			pending	bold | 2 section(s)
Refresh			pending	backtick, bold | 2 section(s)
public or private endpoints			pending	bold | 1 section(s)
Global			pending	bold | 1 section(s)
Resilience against regional outages			pending	bold | 1 section(s)
Low-latency reads			pending	bold | 1 section(s)
Project plan availability			pending	bold | 1 section(s)
Cluster configuration			pending	bold | 1 section(s)
Unsupported features			pending	bold | 1 section(s)
Auto-recovery			pending	bold | 1 section(s)
Switchover or Failover			pending	bold | 1 section(s)
serving cluster			pending	bold | 1 section(s)
Order By			pending	bold | 1 section(s)
Collection-level TTL			pending	bold | 1 section(s)
Entity-level TTL			pending	bold | 1 section(s)
Entity			pending	bold | 1 section(s)
Bitmap			pending	bold | 1 section(s)
Bit			pending	bold | 1 section(s)
Map			pending	bold | 1 section(s)
Category			pending	bold | 1 section(s)
Public			pending	bold | 1 section(s)
Tech			pending	bold | 1 section(s)
Performance benefit			pending	bold | 1 section(s)
"electronics"			pending	bold | 1 section(s)
maps to IDs			pending	bold | 1 section(s)
Consider your query patterns			pending	bold | 1 section(s)
binary search			pending	bold | 1 section(s)
Recall			pending	bold | 1 section(s)
Recall by approximately 3%–4%			pending	bold | 1 section(s)
Recall drops by 3%–4%			pending	bold | 1 section(s)
Segments text			pending	bold | 1 section(s)
Tags each token			pending	bold | 1 section(s)
Applies filters			pending	bold | 1 section(s)
Expected output			pending	bold | 1 section(s)
full text search			pending	bold | 1 section(s)
dynamic field			pending	bold | 1 section(s)
scalar and vector fields			pending	bold | 1 section(s)
id = 1			pending	bold | 1 section(s)
id = 2			pending	bold | 1 section(s)
id = 3			pending	bold | 1 section(s)
scalar filter expressions			pending	bold | 1 section(s)
Analyzer			pending	bold | 1 section(s)
Gemma2-2B			pending	bold | 1 section(s)
at the sentence level			pending	bold | 1 section(s)
High token costs			pending	bold | 1 section(s)
Noise interference			pending	bold | 1 section(s)
Reduce costs			pending	bold | 1 section(s)
During insertion			pending	bold | 1 section(s)
During search			pending	bold | 1 section(s)
Score text segments			pending	bold | 1 section(s)
Return highlighted fragments			pending	bold | 1 section(s)
If			pending	bold | 1 section(s)
is not set			pending	bold | 1 section(s)
is set			pending	bold | 1 section(s)
Highlight model deployment			pending	bold | 1 section(s)
Third-party model provider			pending	bold | 1 section(s)
Hosted embedding model			pending	bold | 1 section(s)
Compute			pending	bold | 1 section(s)
Tiered-storage			pending	bold | 1 section(s)
tiered storage architecture			pending	bold | 1 section(s)
full collection scan			pending	bold | 1 section(s)
Billing > Usage			pending	bold | 1 section(s)
Selection Phase			pending	bold | 1 section(s)
Operations Phase			pending	bold | 1 section(s)
Billing Optimization			pending	bold | 1 section(s)
Choose capacity-optimized clusters first			pending	bold | 1 section(s)
Tune build level			pending	bold | 1 section(s)
Partition			pending	bold | 1 section(s)
Dynamic Field			pending	bold, ngram-2 | 1 section(s)
September 15, 2022			pending	bold | 1 section(s)
August 30, 2022			pending	bold | 1 section(s)
August 1, 2022			pending	bold | 1 section(s)
July 22, 2022			pending	bold | 1 section(s)
primary key			pending	bold | 1 section(s)
absolute data sovereignty			pending	bold | 1 section(s)
Semantic Highlighter			pending	bold, ngram-2 | 1 section(s)
Configurable sampling			pending	bold | 1 section(s)
Customizable output fields			pending	bold | 1 section(s)
Hot data identification			pending	bold | 1 section(s)
Structured JSON Lines format			pending	bold | 1 section(s)
Cluster-level metrics			pending	bold | 1 section(s)
Collection-level metrics			pending	bold | 1 section(s)
at the collection level			pending	bold | 1 section(s)
serving clusters			pending	bold | 1 section(s)
on-demand clusters			pending	bold | 1 section(s)
On-Demand Compute > Clusters			pending	bold | 1 section(s)
Other Database			pending	bold | 1 section(s)
Customize			pending	bold | 1 section(s)
Active Runtime			pending	bold | 1 section(s)
Suspending			pending	bold | 1 section(s)
Indexing CU Unit Price			pending	bold | 1 section(s)
Number of Indexing CU			pending	bold | 1 section(s)
Time			pending	bold | 1 section(s)
Class 1			pending	bold | 1 section(s)
Class 2			pending	bold | 1 section(s)
Class 1 Request Count			pending	bold | 1 section(s)
Class 2 Request Count			pending	bold | 1 section(s)
Class 1 Unit Price			pending	bold | 1 section(s)
Class 2 Unit Price			pending	bold | 1 section(s)
Bucket Permission			pending	bold | 1 section(s)
Read-Write,			pending	bold | 1 section(s)
Read-Only and			pending	bold | 1 section(s)
Cluster operations			pending	bold | 1 section(s)
Cluster users			pending	bold | 1 section(s)
Data plane operations			pending	bold | 1 section(s)
Collaborators			pending	bold | 1 section(s)
Cluster IP allowlist			pending	bold | 1 section(s)
Private endpoints			pending	bold | 1 section(s)
Sample rate			pending	bold | 1 section(s)
Output fields			pending	bold | 1 section(s)
JSON Lines			pending	bold, ngram-2 | 1 section(s)
Cluster Admin			pending	bold, ngram-2 | 1 section(s)
Sampling Rate			pending	bold | 1 section(s)
Output Fields			pending	bold | 1 section(s)
Always included			pending	bold | 1 section(s)
configured and validated			pending	bold | 1 section(s)
Enforce SSO Login			pending	bold | 1 section(s)
any other			pending	bold | 1 section(s)
SSO enforcement			pending	bold | 1 section(s)
Existing IAM Role			pending	bold, ngram-3 | 1 section(s)
Validate KMS Key			pending	bold | 1 section(s)
New IAM Role			pending	bold | 1 section(s)
Step 1			pending	bold | 1 section(s)
Step 2			pending	bold | 1 section(s)
Step 3			pending	bold | 1 section(s)
Enter			pending	bold | 1 section(s)
Step 4			pending	bold | 1 section(s)
root key			pending	bold | 1 section(s)
Cluster IP Allowlisting			pending	bold | 1 section(s)
Google Cloud			pending	bold, ngram-2 | 1 section(s)
Via SDKs			pending	bold, ngram-2 | 1 section(s)
Volumes			pending	bold | 1 section(s)
Upload file or folder			pending	bold | 1 section(s)
Upload a file			pending	bold | 1 section(s)
Upload a folder			pending	bold | 1 section(s)
Files			pending	bold | 1 section(s)
Continuous Serving			pending	bold, ngram-2 | 1 section(s)
Continuous Discovery			pending	bold, ngram-2 | 1 section(s)
Realtime Serving			pending	bold, ngram-2 | 1 section(s)
On-demand Compute			pending	bold, ngram-2 | 1 section(s)
Serving			pending	bold | 1 section(s)
Discovery			pending	bold | 1 section(s)
Serving only			pending	bold | 1 section(s)
On-demand only			pending	bold | 1 section(s)
Both			pending	bold | 1 section(s)
On-demand Cluster			pending	bold, ngram-2 | 1 section(s)
On-demand Ephemeral			pending	bold | 1 section(s)
External collections			pending	bold | 1 section(s)
Why this matters			pending	bold | 1 section(s)
Recommended adoption path			pending	bold | 1 section(s)
Decision ask			pending	bold | 1 section(s)
Database / Collection			pending	bold | 1 section(s)
~55 GB			pending	bold | 1 section(s)
Lakebase			pending	bold | 1 section(s)
AI CS/CD loop			pending	bold | 1 section(s)
Zero-copy indexing			pending	bold | 1 section(s)
Pay-per-query economics			pending	bold | 1 section(s)
Progressive upgrade path			pending	bold | 1 section(s)
True multi-tenancy with scale-to-zero			pending	bold | 1 section(s)
External and managed volumes			pending	bold | 1 section(s)
GPU-accelerated index builds			pending	bold | 1 section(s)
Explore			pending	bold | 1 section(s)
Validate			pending	bold | 1 section(s)
Serve			pending	bold | 1 section(s)
Tiered Query Node			pending	bold | 1 section(s)
Subscriptions			pending	bold | 1 section(s)
Essentials			pending	bold | 1 section(s)
Resource groups			pending	bold | 1 section(s)
Contributor			pending	bold | 1 section(s)
User Access Administrator			pending	bold | 1 section(s)
Privileged administrator roles			pending	bold | 1 section(s)
Managed entity			pending	bold | 1 section(s)
Azure Private Service Connect			pending	bold | 1 section(s)
Subscription ID			pending	bold, backtick | 1 section(s)
Resource Group Name			pending	bold | 1 section(s)
Endpoint services			pending	bold | 1 section(s)
Available load balancers			pending	bold | 1 section(s)
`zilliz-gateway`			pending	bold | 1 section(s)
Acceptance required			pending	bold | 1 section(s)
Service category			pending	bold | 1 section(s)
Other endpoint services			pending	bold | 1 section(s)
security group			pending	bold | 1 section(s)
Available			pending	bold | 1 section(s)
Route 53			pending	bold | 1 section(s)
Hosted zones			pending	bold | 1 section(s)
Domain name			pending	bold | 1 section(s)
Private hosted zone			pending	bold | 1 section(s)
Record name			pending	bold | 1 section(s)
Record type			pending	bold | 1 section(s)
Milvus Components			pending	bold | 1 section(s)
Dependencies			pending	bold | 1 section(s)
Total Capacity			pending	bold | 1 section(s)
Expiring soon			pending	bold | 1 section(s)
Expired			pending	bold | 1 section(s)
Running CU			pending	bold | 1 section(s)
None			pending	backtick | 3 section(s)
INT16			pending	backtick | 3 section(s)
POST			pending	backtick | 2 section(s)
IN			pending	backtick | 2 section(s)
INT8/16/32/64			pending	backtick | 2 section(s)
BM25\			pending	backtick | 2 section(s)
GET			pending	backtick | 2 section(s)
